z2t_ID,ZipCode,SalesTaxRate,ClothingUnder55Limit,ClothingUnder55LimitReportingCode,ClothingUnder110Limit,ClothingUnder110LimitReportingCode,ClothingOver110Limit,ClothingOver110LimitReportingCode,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord
2,501,8.625,4.25,SU 4711,8.625,SU 4711,8.625,SU 4711,4,NE 0021,4.625,SU 4711,0,,0,,I R S Service Center,Holtsville,NY,Suffolk,1,0
1,501,8.625,4.25,SU 4711,8.625,SU 4711,8.625,SU 4711,4,NE 0021,4.625,SU 4711,0,,0,,Holtsville,Holtsville,NY,Suffolk,1,1
4,544,8.625,4.25,SU 4711,8.625,SU 4711,8.625,SU 4711,4,NE 0021,4.625,SU 4711,0,,0,,Irs Service Center,Holtsville,NY,Suffolk,1,0
3,544,8.625,4.25,SU 4711,8.625,SU 4711,8.625,SU 4711,4,NE 0021,4.625,SU 4711,0,,0,,Holtsville,Holtsville,NY,Suffolk,1,1
11635,6390,8.625,4.25,SU 4711,8.625,SU 4711,8.625,SU 4711,4,NE 0021,4.625,SU 4711,0,,0,,Fishers Island,Fishers Island,NY,Suffolk,1,1
212752,10001,8.875,0,NE 8061,0,NE 8061,8.875,NE 8081,4,NE 0021,0,,4.875,NE 8081,0,,New York City,New York,NY,New York,1,0
14194,10001,8.875,0,NE 8061,0,NE 8061,8.875,NE 8081,4,NE 0021,0,,4.875,NE 8081,0,,Empire State,New York,NY,New York,1,0
14195,10001,8.875,0,NE 8061,0,NE 8061,8.875,NE 8081,4,NE 0021,0,,4.875,NE 8081,0,,G P O,New York,NY,New York,1,0
14196,10001,8.875,0,NE 8061,0,NE 8061,8.875,NE 8081,4,NE 0021,0,,4.875,NE 8081,0,,Greeley Square,New York,NY,New York,1,0
14197,10001,8.875,0,NE 8061,0,NE 8061,8.875,NE 8081,4,NE 0021,0,,4.875,NE 8081,0,,Macys Finance,New York,NY,New York,1,0
14200,10001,8.875,0,NE 8061,0,NE 8061,8.875,NE 8081,4,NE 0021,0,,4.875,NE 8081,0,,Manhattan,New York,NY,New York,1,0
