This document is under construction,,,,
,,,,
State,UseTax,,Same = Use tax rates are the same as Sales tax for each municipality,
AA,NULL,,"State = Use tax is the same as the state sales tax rate, smaller municipalities do not collect Use tax",
AE,NULL,,Different = Use tax is not the same as Sales tax,
AK,Same,,Null = No Use tax,
AL,Different,,,
AP,NULL,,,
AR,Same,,None,"AA, AE, AP, AS, FM, GU, MH, MT, MP, PR, PW, VI"
AS,NULL,,Same,"AK, AR, CA, CO, CT, DC, FL, GA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MS, NC, ND, NE, NJ, NV, NY, PA, RI, SC, SD, TN, TX, UT, VA, WA, WV, WY"
AZ,Different,,State,"IA, IL, NM, VT, WI"
CA,Same,,Different,"AL, AZ, HI, MO, OK"
CO,Same,,,
CT,Same,,,
DC,Same,,,
DE,None,,,
FL,Same,,,
FM,NULL,,,
GA,Same,,,
GU,NULL,,,
HI,Different,,,
IA,State,,,
ID,Same,,,
IL,State,,,
IN,Same,,,
KS,Same,,,
KY,Same,,,
LA,Same,,,
MA,Same,,,
MD,Same,,,
ME,Same,,,
MH,NULL,,,
MI,Same,,,
MN,Same,,,
MO,Different,,,
MP,NULL,,,
MS,Same,,,
MT,None,,,
NC,Same,,,
ND,Same,,,
NE,Same,,,
NH,None,,,
NJ,Same,,,
NM,State,,,
NV,Same,,,
NY,Same,,,
OH,Same,,,
OK,Different,,,
OR,None,,,
PA,Same,,,
PR,NULL,,,
PW,NULL,,,
RI,Same,,,
SC,Same,,,
SD,Same,,,
TN,Same,,,
TX,Same,,,
UT,Same,,,
VA,Same,,,
VI,NULL,,,
VT,State,,,
WA,Same,,,
WI,State,,,
WV,Same,,,
WY,Same,,,
