z2t_ID,ZipCode,SalesTaxRate,Jurisdiction,ReportingCode,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord
7438,01001,6.25,State of Massachusetts,,Agawam,Agawam,MA,Hampden,0,1
7439,01002,6.25,State of Massachusetts,,Amherst,Amherst,MA,Hampshire,0,1
7443,01002,6.25,State of Massachusetts,,Cushman,Amherst,MA,Hampshire,0,0
7444,01002,6.25,State of Massachusetts,,Pelham,Amherst,MA,Hampshire,0,0
7445,01002,6.25,State of Massachusetts,,South Amherst,Amherst,MA,Hampshire,0,0
7446,01003,6.25,State of Massachusetts,,Amherst,Amherst,MA,Hampshire,0,1
7447,01004,6.25,State of Massachusetts,,Amherst,Amherst,MA,Hampshire,0,1
7448,01005,6.25,State of Massachusetts,,Barre,Barre,MA,Worcester,0,1
7449,01007,6.25,State of Massachusetts,,Belchertown,Belchertown,MA,Hampshire,0,1
7450,01008,6.25,State of Massachusetts,,Blandford,Blandford,MA,Hampden,0,1
7451,01009,6.25,State of Massachusetts,,Bondsville,Bondsville,MA,Hampden,0,1
7452,01010,6.25,State of Massachusetts,,Brimfield,Brimfield,MA,Hampden,0,1
7453,01010,6.25,State of Massachusetts,,East Brimfield,Brimfield,MA,Hampden,0,0
7454,01011,6.25,State of Massachusetts,,Chester,Chester,MA,Hampden,0,1
7455,01012,6.25,State of Massachusetts,,Chesterfield,Chesterfield,MA,Hampshire,0,1
7456,01013,6.25,State of Massachusetts,,Chicopee,Chicopee,MA,Hampden,0,1
7457,01013,6.25,State of Massachusetts,,Willimansett,Chicopee,MA,Hampden,0,0
7458,01014,6.25,State of Massachusetts,,Chicopee,Chicopee,MA,Hampden,0,1
7459,01020,6.25,State of Massachusetts,,Chicopee,Chicopee,MA,Hampden,0,1
7460,01021,6.25,State of Massachusetts,,Chicopee,Chicopee,MA,Hampden,0,1
7463,01022,6.25,State of Massachusetts,,Chicopee,Chicopee,MA,Hampden,0,1
7464,01022,6.25,State of Massachusetts,,Westover Afb,Chicopee,MA,Hampden,0,0
7465,01026,6.25,State of Massachusetts,,Cummington,Cummington,MA,Hampshire,0,1
7466,01026,6.25,State of Massachusetts,,West Cummington,Cummington,MA,Hampshire,0,0
