State,State tax agency,State effective date,State sales tax rate,Zip Code,County,County effective date,County tax rate,City,City effective date,City tax rate,Municipality code,Special taxes - 1,Special taxes - 2,Special taxes - 3,Inventory Part,Labor,Non-Inventory Part,Non-Recurring,Other Charge,Other Recurring,Recurring Service,Labor Taxable Notes,Shipping Taxable
NY,NE 0021,4/1/2011,4,11690,Queens,4/1/2011,0,Edgemere,4/1/2011,4.875,NE 8081,0,0,0,Y,Y,Y,Y,Y,Y,Y,http://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/contractors-sales_tax_credits.htm,1
NY,NE 0021,4/1/2011,4,11690,Queens,4/1/2011,0,Far Rockaway,4/1/2011,4.875,NE 8081,0,0,0,Y,Y,Y,Y,Y,Y,Y,http://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/contractors-sales_tax_credits.htm,1
NY,NE 0021,4/1/2011,4,11690,Queens,4/1/2011,0,Wave Crest,4/1/2011,4.875,NE 8081,0,0,0,Y,Y,Y,Y,Y,Y,Y,http://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/contractors-sales_tax_credits.htm,1
NY,NE 0021,4/1/2011,4,11691,Queens,4/1/2011,0,Far Rockaway,4/1/2011,4.875,NE 8081,0,0,0,Y,Y,Y,Y,Y,Y,Y,http://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/contractors-sales_tax_credits.htm,1
NY,NE 0021,4/1/2011,4,11692,Queens,4/1/2011,0,Arverne,4/1/2011,4.875,NE 8081,0,0,0,Y,Y,Y,Y,Y,Y,Y,http://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/contractors-sales_tax_credits.htm,1
NY,NE 0021,4/1/2011,4,11692,Queens,4/1/2011,0,Far Rockaway,4/1/2011,4.875,NE 8081,0,0,0,Y,Y,Y,Y,Y,Y,Y,http://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/contractors-sales_tax_credits.htm,1
NY,NE 0021,4/1/2011,4,11693,Queens,4/1/2011,0,Broad Channel,4/1/2011,4.875,NE 8081,0,0,0,Y,Y,Y,Y,Y,Y,Y,http://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/contractors-sales_tax_credits.htm,1
NY,NE 0021,4/1/2011,4,11693,Queens,4/1/2011,0,Rockaway Beach,4/1/2011,4.875,NE 8081,0,0,0,Y,Y,Y,Y,Y,Y,Y,http://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/contractors-sales_tax_credits.htm,1
NY,NE 0021,4/1/2011,4,11693,Queens,4/1/2011,0,Far Rockaway,4/1/2011,4.875,NE 8081,0,0,0,Y,Y,Y,Y,Y,Y,Y,http://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/contractors-sales_tax_credits.htm,1
NY,NE 0021,4/1/2011,4,11694,Queens,4/1/2011,0,Belle Harbor,4/1/2011,4.875,NE 8081,0,0,0,Y,Y,Y,Y,Y,Y,Y,http://www.tax.ny.gov/pubs_and_bulls/tg_bulletins/st/contractors-sales_tax_credits.htm,1
