z2t_ID,ZipCode,SalesTaxRate,Jurisdiction,SalesTaxReportingCode,City,PostOffice,State,County,ShippingTaxable
1353,51578,7,County of Shelby,83,Westphalia,Westphalia,IA,Shelby,0
1355,51579,7,County of Harrison,43,Woodbine,Woodbine,IA,Harrison,0
1356,51591,6,County of Montgomery,69,Red Oak,Red Oak,IA,Montgomery,0
1357,51593,7,County of Shelby,83,Harlan,Harlan,IA,Shelby,0
1358,51601,6,State of Iowa,0,Shenandoah,Shenandoah,IA,Page,0
1360,51602,6,State of Iowa,0,Shenandoah,Shenandoah,IA,Page,0
1362,51603,6,State of Iowa,0,Shenandoah,Shenandoah,IA,Page,0
1363,51630,6,State of Iowa,0,Blanchard,Blanchard,IA,Page,0
1338,51631,6,State of Iowa,0,Braddyville,Braddyville,IA,Page,0
1339,51632,6,State of Iowa,0,Clarinda,Clarinda,IA,Page,0
1340,51636,6,State of Iowa,0,Coin,Coin,IA,Page,0
1341,51637,6,State of Iowa,0,College Springs,College Springs,IA,Page,0
1365,51638,6,State of Iowa,0,Essex,Essex,IA,Page,0
1366,51639,6,State of Iowa,0,Farragut,Farragut,IA,Fremont,0
1367,51640,6,State of Iowa,0,Hamburg,Hamburg,IA,Fremont,0
1368,51645,6,State of Iowa,0,Imogene,Imogene,IA,Fremont,0
1369,51646,7,County of Taylor,87,New Market,New Market,IA,Taylor,0
1370,51647,6,State of Iowa,0,Northboro,Northboro,IA,Page,0
1371,51648,6,State of Iowa,0,Percival,Percival,IA,Fremont,0
1372,51649,6,State of Iowa,0,Randolph,Randolph,IA,Fremont,0
1373,51650,6,State of Iowa,0,Riverton,Riverton,IA,Fremont,0
1374,51651,6,State of Iowa,0,Shambaugh,Shambaugh,IA,Page,0
1375,51652,6,State of Iowa,0,Sidney,Sidney,IA,Fremont,0
1376,51653,6,State of Iowa,0,Tabor,Tabor,IA,Fremont,0
1378,51654,6,State of Iowa,0,Thurman,Thurman,IA,Fremont,0
1379,51656,6,State of Iowa,0,Yorktown,Yorktown,IA,Page,0
1381,52001,7,County of Dubuque,31,Dubuque,Dubuque,IA,Dubuque,0
1384,52002,7,County of Dubuque,31,Dubuque,Dubuque,IA,Dubuque,0
1385,52003,7,County of Dubuque,31,Dubuque,Dubuque,IA,Dubuque,0
1392,52004,7,County of Dubuque,31,Dubuque,Dubuque,IA,Dubuque,0
