"Code","Country","State","Zip/Post Code","Rate"
"US-IL-60001-Rate1","US","IL","60001","7"
"US-IL-60002-Rate1","US","IL","60002","7"
"US-IL-60004-Rate1","US","IL","60004","9.5"
"US-IL-60005-Rate1","US","IL","60005","9.5"
"US-IL-60006-Rate1","US","IL","60006","9.5"
"US-IL-60007-Rate1","US","IL","60007","9.5"
"US-IL-60008-Rate1","US","IL","60008","9.5"
"US-IL-60009-Rate1","US","IL","60009","9.5"
"US-IL-60010-Rate1","US","IL","60010","7"
"US-IL-60011-Rate1","US","IL","60011","7"
"US-IL-60012-Rate1","US","IL","60012","7.75"
"US-IL-60013-Rate1","US","IL","60013","7"
"US-IL-60014-Rate1","US","IL","60014","7.75"
"US-IL-60015-Rate1","US","IL","60015","8"
"US-IL-60016-Rate1","US","IL","60016","9.5"
"US-IL-60017-Rate1","US","IL","60017","9.5"
"US-IL-60018-Rate1","US","IL","60018","9.5"
"US-IL-60019-Rate1","US","IL","60019","9.5"
"US-IL-60020-Rate1","US","IL","60020","7"
"US-IL-60021-Rate1","US","IL","60021","7"
"US-IL-60022-Rate1","US","IL","60022","8.5"
"US-IL-60025-Rate1","US","IL","60025","9.25"
"US-IL-60026-Rate1","US","IL","60026","9.25"
"US-IL-60029-Rate1","US","IL","60029","8.5"
"US-IL-60030-Rate1","US","IL","60030","7"
"US-IL-60031-Rate1","US","IL","60031","7.5"
"US-IL-60033-Rate1","US","IL","60033","7"
"US-IL-60034-Rate1","US","IL","60034","7"
"US-IL-60035-Rate1","US","IL","60035","8"
"US-IL-60037-Rate1","US","IL","60037","7"
"US-IL-60038-Rate1","US","IL","60038","9.5"
"US-IL-60039-Rate1","US","IL","60039","7.75"
"US-IL-60040-Rate1","US","IL","60040","8.5"
"US-IL-60041-Rate1","US","IL","60041","7"
"US-IL-60042-Rate1","US","IL","60042","7"
"US-IL-60043-Rate1","US","IL","60043","8.5"
"US-IL-60044-Rate1","US","IL","60044","8"
"US-IL-60045-Rate1","US","IL","60045","7.5"
"US-IL-60046-Rate1","US","IL","60046","7"
"US-IL-60047-Rate1","US","IL","60047","7"
"US-IL-60048-Rate1","US","IL","60048","7"
"US-IL-60049-Rate1","US","IL","60049","8"
"US-IL-60050-Rate1","US","IL","60050","7"
"US-IL-60051-Rate1","US","IL","60051","7"
"US-IL-60053-Rate1","US","IL","60053","9.5"
"US-IL-60055-Rate1","US","IL","60055","9.5"
"US-IL-60056-Rate1","US","IL","60056","9.5"
"US-IL-60060-Rate1","US","IL","60060","8"
"US-IL-60061-Rate1","US","IL","60061","7"
"US-IL-60062-Rate1","US","IL","60062","9.25"
"US-IL-60064-Rate1","US","IL","60064","7"
"US-IL-60065-Rate1","US","IL","60065","9.25"
"US-IL-60067-Rate1","US","IL","60067","9.5"
"US-IL-60068-Rate1","US","IL","60068","9.5"
"US-IL-60069-Rate1","US","IL","60069","7"
"US-IL-60070-Rate1","US","IL","60070","9"
"US-IL-60071-Rate1","US","IL","60071","7"
"US-IL-60072-Rate1","US","IL","60072","7"
"US-IL-60073-Rate1","US","IL","60073","7"
"US-IL-60074-Rate1","US","IL","60074","9.5"
"US-IL-60075-Rate1","US","IL","60075","7"
"US-IL-60076-Rate1","US","IL","60076","9.5"
"US-IL-60077-Rate1","US","IL","60077","9.5"
"US-IL-60078-Rate1","US","IL","60078","9.5"
"US-IL-60079-Rate1","US","IL","60079","8"
"US-IL-60081-Rate1","US","IL","60081","7"
"US-IL-60082-Rate1","US","IL","60082","8.5"
"US-IL-60083-Rate1","US","IL","60083","7"
"US-IL-60084-Rate1","US","IL","60084","7"
"US-IL-60085-Rate1","US","IL","60085","8"
"US-IL-60086-Rate1","US","IL","60086","7"
"US-IL-60087-Rate1","US","IL","60087","8"
"US-IL-60088-Rate1","US","IL","60088","7"
"US-IL-60089-Rate1","US","IL","60089","8"
"US-IL-60090-Rate1","US","IL","60090","9.5"
"US-IL-60091-Rate1","US","IL","60091","8.75"
"US-IL-60092-Rate1","US","IL","60092","7"
"US-IL-60093-Rate1","US","IL","60093","8.5"
"US-IL-60094-Rate1","US","IL","60094","9.5"
"US-IL-60095-Rate1","US","IL","60095","9.5"
"US-IL-60096-Rate1","US","IL","60096","7"
"US-IL-60097-Rate1","US","IL","60097","7"
"US-IL-60098-Rate1","US","IL","60098","7"
"US-IL-60099-Rate1","US","IL","60099","7"
"US-IL-60101-Rate1","US","IL","60101","8"
