z2t_ID,PostalCode,SalesTaxRate,GST,HST,PST,QST,RST,City,Province
94562,E7M 5G4,13,5,13,,,,Woodstock,NB
94563,E7M 5G5,13,5,13,,,,Woodstock,NB
94564,E7M 5G6,13,5,13,,,,Woodstock,NB
94565,E7M 5G7,13,5,13,,,,Woodstock,NB
94566,E7M 5G8,13,5,13,,,,Woodstock,NB
94567,E7M 5G9,13,5,13,,,,Woodstock,NB
94568,E7M 5H1,13,5,13,,,,Bedell,NB
94569,E7M 5H8,13,5,13,,,,Hartford,NB
94570,E7M 5H9,13,5,13,,,,Hartford,NB
122596,G3E 1E1,14.975,5,,,9.5,,Quebec,QC
122597,G3E 1E2,14.975,5,,,9.5,,Quebec,QC
122598,G3E 1E3,14.975,5,,,9.5,,Quebec,QC
122599,G3E 1E4,14.975,5,,,9.5,,Quebec,QC
122600,G3E 1E5,14.975,5,,,9.5,,Quebec,QC
122601,G3E 1E6,14.975,5,,,9.5,,Quebec,QC
122602,G3E 1E7,14.975,5,,,9.5,,Quebec,QC
122603,G3E 1E8,14.975,5,,,9.5,,Quebec,QC
122604,G3E 1E9,14.975,5,,,9.5,,Quebec,QC
614333,R6W 1K5,12,5,,,,7,Schanzenfeld,MB
614334,R6W 1K6,12,5,,,,7,Winkler,MB
614335,R6W 1K6,12,5,,,,7,Schanzenfeld,MB
614336,R6W 1K7,12,5,,,,7,Reinfeld,MB
614337,R6W 1K8,12,5,,,,7,Reinfeld,MB
