z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord
51507,60001,7,6.25,,0.75,056-5000-6,,,0,,Alden,Alden,IL,McHenry,0,1
84138,60002,7,6.25,,0.75,049-5000-6,,,0,,Old Mill Creek,Antioch,IL,Lake,0,0
51508,60002,7,6.25,,0.75,049-5000-6,,,0,,Antioch,Antioch,IL,Lake,0,1
84139,60002,7,6.25,,0.75,049-5000-6,,,0,,Wadsworth,Antioch,IL,Lake,0,0
51509,60004,9.5,6.25,,2.25,016-5000-1,1,016-0003-6,0,,Arlington Heights,Arlington Heights,IL,Cook,0,1
51511,60005,9.5,6.25,,2.25,016-5000-1,1,016-0003-6,0,,Arlington Heights,Arlington Heights,IL,Cook,0,1
51513,60006,9.5,6.25,,2.25,016-5000-1,1,016-0003-6,0,,Arlington Heights,Arlington Heights,IL,Cook,0,1
51515,60007,9.5,6.25,,2.25,016-5000-1,1,016-0140-7,0,,Elk Grove Village,Elk Grove Village,IL,Cook,0,1
51518,60008,9.5,6.25,,2.25,016-5000-1,1,016-0137-7,0,,Rolling Meadows,Rolling Meadows,IL,Cook,0,1
51521,60009,9.5,6.25,,2.25,016-5000-1,1,016-0140-7,0,,Elk Grove Village,Elk Grove Village,IL,Cook,0,1
51529,60010,7,6.25,,0.75,049-5000-6,,,0,,Hoffman Estates,Barrington,IL,Lake,0,0
51525,60010,7,6.25,,0.75,049-5000-6,,,0,,Barrington Hills,Barrington,IL,Lake,0,0
51526,60010,7,6.25,,0.75,049-5000-6,,,0,,Deer Park,Barrington,IL,Lake,0,0
51544,60010,7,6.25,,0.75,049-5000-6,,,0,,Fox River Valley Gardens,Barrington,IL,Lake,0,0
51530,60010,7,6.25,,0.75,049-5000-6,,,0,,Inverness,Barrington,IL,Lake,0,0
51531,60010,7,6.25,,0.75,049-5000-6,,,0,,Kildeer,Barrington,IL,Lake,0,0
51535,60010,7,6.25,,0.75,049-5000-6,,,0,,Lake Barrington,Barrington,IL,Lake,0,0
51536,60010,7,6.25,,0.75,049-5000-6,,,0,,Lake Barrington Shores,Barrington,IL,Lake,0,0
51539,60010,7,6.25,,0.75,049-5000-6,,,0,,North Barrington,Barrington,IL,Lake,0,0
51527,60010,7,6.25,,0.75,049-5000-6,,,0,,Port Barrington,Barrington,IL,Lake,0,0
51541,60010,7,6.25,,0.75,049-5000-6,,,0,,South Barrington,Barrington,IL,Lake,0,0
